Array Size,Merge Sort,Counting Sort,Quick Sort,Radix Sort
1000,0.000000,0.000000,0.000000,0.000000
2000,0.001000,0.000000,0.001000,0.000000
3000,0.000000,0.000000,0.001000,0.001000
4000,0.001000,0.000000,0.001000,0.000000
5000,0.001000,0.000000,0.001000,0.002000
6000,0.001000,0.000000,0.001000,0.001000
7000,0.003000,0.000000,0.001000,0.001000
8000,0.003000,0.001000,0.002000,0.001000
9000,0.003000,0.000000,0.003000,0.001000
10000,0.003000,0.000000,0.003000,0.002000
11000,0.005000,0.001000,0.004000,0.001000
12000,0.004000,0.000000,0.003000,0.002000
13000,0.004000,0.000000,0.004000,0.003000
14000,0.004000,0.000000,0.004000,0.004000
15000,0.007000,0.000000,0.005000,0.002000
16000,0.005000,0.000000,0.006000,0.003000
17000,0.006000,0.000000,0.006000,0.003000
18000,0.006000,0.001000,0.007000,0.003000
19000,0.007000,0.000000,0.007000,0.002000
20000,0.007000,0.001000,0.007000,0.004000
21000,0.008000,0.001000,0.008000,0.003000
22000,0.007000,0.000000,0.008000,0.004000
23000,0.009000,0.001000,0.008000,0.003000
24000,0.008000,0.001000,0.009000,0.004000
25000,0.010000,0.001000,0.010000,0.004000
26000,0.010000,0.001000,0.011000,0.005000
27000,0.011000,0.001000,0.011000,0.005000
28000,0.011000,0.002000,0.011000,0.004000
29000,0.012000,0.000000,0.013000,0.004000
30000,0.012000,0.001000,0.013000,0.004000
31000,0.012000,0.000000,0.015000,0.004000
32000,0.012000,0.003000,0.015000,0.005000
33000,0.014000,0.001000,0.015000,0.005000
34000,0.013000,0.001000,0.016000,0.006000
35000,0.014000,0.000000,0.016000,0.005000
36000,0.014000,0.001000,0.017000,0.006000
37000,0.016000,0.001000,0.018000,0.006000
38000,0.016000,0.001000,0.018000,0.006000
39000,0.015000,0.003000,0.019000,0.006000
40000,0.017000,0.001000,0.019000,0.005000
41000,0.018000,0.001000,0.023000,0.007000
42000,0.017000,0.001000,0.022000,0.007000
43000,0.017000,0.002000,0.023000,0.006000
44000,0.017000,0.002000,0.023000,0.007000
45000,0.017000,0.001000,0.025000,0.006000
46000,0.019000,0.002000,0.026000,0.009000
47000,0.019000,0.002000,0.027000,0.007000
48000,0.019000,0.003000,0.027000,0.007000
49000,0.020000,0.001000,0.027000,0.008000
50000,0.020000,0.002000,0.029000,0.008000
51000,0.021000,0.002000,0.029000,0.008000
52000,0.022000,0.002000,0.031000,0.008000
53000,0.022000,0.001000,0.032000,0.008000
54000,0.024000,0.002000,0.033000,0.008000
55000,0.022000,0.001000,0.032000,0.008000
56000,0.022000,0.004000,0.055000,0.012000
57000,0.023000,0.001000,0.036000,0.008000
58000,0.023000,0.002000,0.036000,0.007000
59000,0.024000,0.003000,0.038000,0.008000
60000,0.027000,0.002000,0.039000,0.008000
61000,0.026000,0.001000,0.039000,0.009000
62000,0.026000,0.001000,0.042000,0.010000
63000,0.026000,0.002000,0.041000,0.009000
64000,0.026000,0.002000,0.044000,0.009000
65000,0.026000,0.002000,0.044000,0.010000
66000,0.028000,0.002000,0.045000,0.011000
67000,0.027000,0.002000,0.045000,0.010000
68000,0.027000,0.002000,0.047000,0.010000
69000,0.028000,0.002000,0.049000,0.010000
70000,0.029000,0.003000,0.050000,0.011000
71000,0.030000,0.001000,0.051000,0.011000
72000,0.030000,0.003000,0.051000,0.011000
73000,0.031000,0.001000,0.053000,0.011000
74000,0.030000,0.002000,0.053000,0.011000
75000,0.030000,0.003000,0.054000,0.011000
76000,0.031000,0.002000,0.054000,0.007000
77000,0.034000,0.003000,0.057000,0.014000
78000,0.041000,0.003000,0.063000,0.012000
79000,0.036000,0.002000,0.060000,0.011000
80000,0.034000,0.002000,0.060000,0.013000
81000,0.033000,0.002000,0.062000,0.013000
82000,0.034000,0.002000,0.063000,0.011000
83000,0.035000,0.003000,0.065000,0.012000
84000,0.034000,0.003000,0.065000,0.011000
85000,0.033000,0.004000,0.064000,0.012000
86000,0.034000,0.003000,0.069000,0.013000
87000,0.029000,0.002000,0.070000,0.013000
88000,0.036000,0.002000,0.070000,0.016000
89000,0.037000,0.002000,0.073000,0.013000
90000,0.039000,0.003000,0.075000,0.013000
91000,0.038000,0.004000,0.105000,0.010000
92000,0.037000,0.002000,0.076000,0.014000
93000,0.038000,0.002000,0.077000,0.010000
94000,0.026000,0.002000,0.041000,0.008000
95000,0.028000,0.003000,0.077000,0.014000
96000,0.040000,0.003000,0.063000,0.009000
97000,0.026000,0.002000,0.067000,0.017000
98000,0.041000,0.002000,0.086000,0.014000
99000,0.040000,0.003000,0.087000,0.014000
100000,0.045000,0.003000,0.110000,0.018000
101000,0.053000,0.004000,0.114000,0.019000
102000,0.053000,0.004000,0.081000,0.007000
103000,0.038000,0.003000,0.074000,0.011000
104000,0.041000,0.002000,0.095000,0.015000
105000,0.044000,0.003000,0.095000,0.016000
106000,0.044000,0.003000,0.088000,0.012000
107000,0.041000,0.003000,0.097000,0.012000
108000,0.026000,0.002000,0.094000,0.016000
109000,0.048000,0.003000,0.098000,0.017000
110000,0.046000,0.003000,0.077000,0.009000
111000,0.033000,0.003000,0.103000,0.016000
112000,0.047000,0.003000,0.105000,0.016000
113000,0.047000,0.003000,0.110000,0.017000
114000,0.047000,0.004000,0.111000,0.017000
115000,0.048000,0.003000,0.111000,0.017000
116000,0.047000,0.004000,0.112000,0.017000
117000,0.049000,0.003000,0.101000,0.009000
118000,0.026000,0.003000,0.077000,0.016000
119000,0.057000,0.003000,0.131000,0.013000
